Epoch,Many,Medium,Low,Overall
220,0.7887,0.7457,nan,0.7758
221,0.7786,0.769,nan,0.7757
222,0.7667,0.7723,nan,0.7684
223,0.7711,0.7583,nan,0.7673
224,0.7587,0.7537,nan,0.7572
225,0.7576,0.7677,nan,0.7606
226,0.7414,0.7707,nan,0.7502
227,0.7211,0.79,nan,0.7418
228,0.6934,0.786,nan,0.7212
229,0.6734,0.7903,nan,0.7085
,0.823,0.7903,0,0.7861
